GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java,com.java.ChatGPTFree.Singleton.round3,ChatGPT_R3_Singleton,0,41,0,2,0,11,0,5,0,4
java,com.java.Github_Copilot.Singleton.round2,Copilot_R2_Singleton,0,10,0,2,0,4,0,3,0,2
java,com.java.Github_Copilot.Singleton.round3,Copilot_R3_Singleton,0,14,0,2,0,6,0,4,0,3
java,com.java.GeminiFlash.Singleton.round3,GeminiF_R3_Singleton,0,19,1,3,0,6,1,3,0,2
java,com.java.Github_Copilot.Singleton.round1,Copilot_R1_Singleton,0,14,0,2,0,6,0,4,0,3
java,com.java.GeminiFlash.Singleton.round1,GeminiF_R1_Singleton,1,17,1,3,1,5,2,2,1,1
java,com.java.GeminiPro.Singleton.round3,GeminiP_R3_Singleton.SingletonHolder,0,5,0,0,0,1,0,1,0,1
java,com.java.GeminiPro.Singleton.round3,GeminiP_R3_Singleton,0,5,0,0,0,2,0,2,0,2
java,com.java.GeminiFlash.Singleton.round2,GeminiF_R2_Singleton,0,7,0,0,0,2,0,2,0,2
java,com.java.GeminiPro.Singleton.round2,GeminiP_R2_Singleton,0,17,0,0,0,3,0,2,0,2
java,com.java.GeminiPro.Singleton.round1,GeminiP_R1_Singleton,0,20,1,3,0,6,1,3,0,2
java,com.java.ChatGPTFree.Singleton.round1,ChatGPT_R1_Singleton,0,8,0,2,0,3,0,2,0,1
java,com.java.ChatGPTFree.Singleton.round2,ChatGPT_R2_Singleton,0,16,0,2,0,7,0,4,0,3
